Transaction ID,Transaction Date,Store ID,Region,City,State,Product ID,Product Name,Category,Type,Cost per Unit,Price per Unit,Quantity Sold,Total Cost,Total Revenue,Profit
1,1/1/2020,S012,Southern,Senai,Johor,P003,Dark Roast Beans,Coffee,Beans,42,55,17,714,935,221
2,1/1/2020,S015,Southern,Seremban 2,Negeri Sembilan,P003,Dark Roast Beans,Coffee,Beans,42,55,5,210,275,65
3,1/1/2020,S016,Southern,Sendayan,Negeri Sembilan,P003,Dark Roast Beans,Coffee,Beans,42,55,2,84,110,26
4,1/1/2020,S006,Central,Shah Alam,Selangor,P003,Dark Roast Beans,Coffee,Beans,42,55,6,252,330,78
5,1/1/2020,S008,Central,Petaling Jaya,Selangor,P001,Arabica Coffee Beans,Coffee,Beans,45,60,2,90,120,30
6,1/1/2020,S004,Northern,Taiping,Perak,P001,Arabica Coffee Beans,Coffee,Beans,45,60,1,45,60,15
7,1/1/2020,S004,Northern,Taiping,Perak,P001,Arabica Coffee Beans,Coffee,Beans,45,60,3,135,180,45
8,1/1/2020,S003,Northern,Ipoh,Perak,P001,Arabica Coffee Beans,Coffee,Beans,45,60,16,720,960,240
9,1/1/2020,S009,Central,Putrajaya,WP Putrajaya,P001,Arabica Coffee Beans,Coffee,Beans,45,60,6,270,360,90
10,1/1/2020,S010,Southern,Johor Bahru,Johor,P001,Arabica Coffee Beans,Coffee,Beans,45,60,2,90,120,30
11,1/1/2020,S019,East Coast,Kuantan,Pahang,P002,Robusta Coffee Beans,Coffee,Beans,38,50,13,494,650,156
12,1/1/2020,S019,East Coast,Kuantan,Pahang,P002,Robusta Coffee Beans,Coffee,Beans,38,50,2,76,100,24
13,1/1/2020,S006,Central,Shah Alam,Selangor,P002,Robusta Coffee Beans,Coffee,Beans,38,50,16,608,800,192
14,1/1/2020,S010,Southern,Johor Bahru,Johor,P005,Robusta Ground Coffee,Coffee,Ground,26,35,2,52,70,18
15,1/1/2020,S004,Northern,Taiping,Perak,P004,Arabica Ground Coffee,Coffee,Ground,30,40,18,540,720,180
16,1/1/2020,S010,Southern,Johor Bahru,Johor,P004,Arabica Ground Coffee,Coffee,Ground,30,40,7,210,280,70
17,1/1/2020,S014,Southern,Seremban,Negeri Sembilan,P004,Arabica Ground Coffee,Coffee,Ground,30,40,6,180,240,60
18,1/1/2020,S016,Southern,Sendayan,Negeri Sembilan,P004,Arabica Ground Coffee,Coffee,Ground,30,40,2,60,80,20
19,1/1/2020,S007,Central,Cyberjaya,Selangor,P006,Instant Coffee,Coffee,Instant,18,25,11,198,275,77
20,1/1/2020,S007,Central,Cyberjaya,Selangor,P006,Instant Coffee,Coffee,Instant,18,25,6,108,150,42
21,1/1/2020,S017,East Coast,Kota Bharu,Kelantan,P013,Oolong Tea,Tea,Oolong Tea,32,45,19,608,855,247
22,1/1/2020,S019,East Coast,Kuantan,Pahang,P013,Oolong Tea,Tea,Oolong Tea,32,45,1,32,45,13
23,1/1/2020,S001,Northern,Alor Setar,Kedah,P013,Oolong Tea,Tea,Oolong Tea,32,45,2,64,90,26
24,1/1/2020,S003,Northern,Ipoh,Perak,P013,Oolong Tea,Tea,Oolong Tea,32,45,1,32,45,13
25,1/1/2020,S004,Northern,Taiping,Perak,P013,Oolong Tea,Tea,Oolong Tea,32,45,2,64,90,26
26,1/1/2020,S013,Southern,Melaka,Melaka,P013,Oolong Tea,Tea,Oolong Tea,32,45,7,224,315,91
27,1/1/2020,S010,Southern,Johor Bahru,Johor,P012,Matcha Green Tea,Tea,Green Tea,35,50,1,35,50,15
28,1/1/2020,S017,East Coast,Kota Bharu,Kelantan,P012,Matcha Green Tea,Tea,Green Tea,35,50,1,35,50,15
29,1/1/2020,S017,East Coast,Kota Bharu,Kelantan,P012,Matcha Green Tea,Tea,Green Tea,35,50,17,595,850,255
30,1/1/2020,S007,Central,Cyberjaya,Selangor,P012,Matcha Green Tea,Tea,Green Tea,35,50,1,35,50,15
31,1/1/2020,S002,Northern,George Town,Penang,P010,English Breakfast Tea,Tea,Black Tea,18,25,6,108,150,42
